"AGEB","Número de bebés"
"0012",9
"0027",14
"0031",27
"0046",46
"0050",28
"0065",41
"0084",17
"0099",34
"0101",8
"0116",40
"0135",81
"014A",34
"0169",21
"0173",34
"0188",4
"0192",4
"0205",2
"021A",3
"0224",2
"0239",6
"0243",65
"0258",2
"0262",2
"0277",3
"0281",2
"0296",21
"0309",27
"0313",55
"0328",66
"0332",38
"0347",30
"0351",39
"0370",30
"0385",29
"0417",9
"0421",51
"0440",53
"0455",23
"0474",87
"0489",37
"0493",29
"0506",32
"0510",16
"0525",12
"053A",38
"0544",17
"0559",15
"0563",78
"0578",51
"0597",28
"060A",19
"0614",12
"0629",12
"0633",13
"0648",9
"0667",39
"0671",14
"0686",12
"0690",21
"0703",10
"0718",6
"0722",12
"0737",3
"0741",21
"0756",10
"0760",4
"0775",7
"078A",4
"0794",3
"0807",10
"0811",4
"0826",5
"0830",4
"0845",9
"0864",49
"0898",15
"0900",20
"0915",11
"092A",13
"0949",4
"0953",7
"0968",17
"0972",13
"0987",6
"0991",8
"1006",10
"1010",12
"1025",4
"103A",13
"1044",16
"1059",11
"1063",8
"1078",43
"110A",16
"1114",5
"1129",6
"1133",9
"1148",22
"1152",7
"1171",104
"1186",15
"1190",13
"1203",1
"1218",7
"1222",19
"1237",22
"1241",22
"1260",9
"1275",8
"128A",12
"1294",9
"1307",8
"1330",61
"1345",65
"135A",57
"1364",54
"1379",7
"1434",42
"1453",50
"1468",26
"1472",46
"1487",41
"1519",39
"1523",32
"1542",20
"1557",56
"1561",27
"1580",59
"1595",51
"1627",53
"1631",54
"1646",48
"1650",47
"1665",26
"167A",61
"1684",40
"1699",55
"1716",71
"1720",26
"1735",81
"174A",87
"1754",29
"1769",69
"1773",34
"1788",35
"1792",27
"1805",33
"181A",47
"1824",43
"1839",45
"1843",62
"1858",75
"1881",19
"1913",29
"1928",15
"1932",25
"1947",32
"1951",51
"1966",22
"1970",35
"1985",47
"199A",37
"2004",0
"2019",32
"2023",41
"2038",37
"2042",35
"2057",40
"2061",68
"2076",25
"2080",19
"2095",47
"2108",37
"2112",88
"2131",10
"2146",16
"2150",25
"2165",29
"2184",21
"2199",47
"2201",28
"2216",35
"2220",36
"2235",41
"224A",29
"2254",33
"2269",16
"2273",1
"2288",45
"2292",41
"2305",38
"231A",21
"2324",29
"2339",23
"2343",56
"2358",26
"2362",17
"2377",17
"2381",1
